LINE,YPP,PN,GNPP,SSR,GWe,HD,PH,PL,GL,GWi
Z244,55.81,18,129.06,0.86,29.03,88,105.3,22.12,9.017,2.682
Z245,26.64,12,99.42,0.81,28.97,77,89,20.62,7.442,3.209
Z246,51.71,16,146.13,0.79,30.15,95,108.3,25.46,9.209,2.683
Z247,30.34,12,101.83,0.85,31.45,89,95.3,21.28,8.895,2.654
Z248,37.62,9,145.56,0.86,34.77,85,95.7,24.26,9.337,2.837
Z249,42.93,13,141.69,0.9,26.85,93,100.7,23.14,7.982,2.794
Z250,40.45,10,139.4,0.9,33.88,90,96.7,22.3,9.696,2.611
Z251,43.29,13,147.54,0.87,27.02,88,98,22.16,7.834,2.867
Z252,37.72,9,159.11,0.82,33.78,88,98.3,22.96,9.383,2.834
Z253,38.11,12,151.67,0.86,26.1,94,89.7,21.92,9.157,2.347
Z254,37.54,10,151.7,0.85,30.77,92,103.3,21.78,8.537,3.003
Z255,42.65,8,211.38,0.89,29.62,88,95.7,24.34,8.324,2.961
Z256,34.52,9,116.56,0.95,36.75,90,98.7,22.8,8.984,3.035
Z257,34.95,11,120.64,0.85,32.6,95,92.7,22.18,9.023,2.758
Z258,49.55,10,183.6,0.88,32.2,91,103.7,26.36,8.631,2.951
Z259,36.98,9,142.78,0.87,33.5,91,93.3,22.92,9.299,2.692
Z260,56.68,13,139.38,0.92,35.5,94,94.7,22.12,9.722,2.722
Z261,34.48,9,146.56,0.87,31.08,99,100.7,21.88,8.64,2.908
Z262,44.27,12,131.67,0.91,32.07,89,94,23.3,9.505,2.633
Z263,54.44,13,149,0.93,31.65,90,102,24.3,8.004,3.146
Z264,54.13,12,153.75,0.92,32.47,89,103.3,26.08,9.519,2.676
Z265,42.39,11,143.45,0.89,32.52,101,106,23.62,8.181,3.259
Z266,32.63,10,122.7,0.88,32.58,98,112.3,23.24,8.381,3.045
Z267,41.34,10,163.4,0.87,30.97,90,101.3,23.98,8.357,2.987
Z268,44.31,15,106.73,0.93,31.48,93,96.7,20.88,8.177,3.039
Z269,32.54,7,165.29,0.9,33.37,94,106.7,25,9.917,2.727
Z270,39.19,11,129.82,0.89,32.18,87,100.3,21.12,9.587,2.55
Z271,46.29,12,139.67,0.93,31.68,89,102.7,24.66,9.932,2.611
Z272,31.2,7,161,0.95,31.33,88,106.7,21.64,8.061,2.943
Z273,31.99,9,162,0.85,29.12,96,104.3,22.1,7.961,3.105
Z274,38.66,8,176,0.87,33.42,85,92,24.38,9.274,2.807
Z275,34.45,9,163.11,0.74,33.43,89,97.3,22.66,8.245,3.213
Z276,47.41,11,142.82,0.9,36.47,88,96,22.4,9.442,2.886
Z277,37.98,9,159.67,0.83,33.37,89,99,24.48,8.404,3.168
Z278,33.25,10,101.3,0.92,37.13,88,93.3,22.56,9.456,3.033
Z279,33.72,10,136.2,0.87,30.07,88,84.7,22.6,8.579,2.879
Z280,37.83,9,156.22,0.93,30.05,90,95.7,21.86,8.195,2.983
Z281,30.13,8,139.63,0.93,30.12,96,91.7,23.74,8.119,2.919
Z282,33.28,10,124,0.83,35.37,91,96.3,23.84,9.153,3.001
Z283,31.08,10,127.9,0.8,31.4,86,84,22.52,9.452,2.769
Z284,43.43,12,128.17,0.84,35.25,90,94.3,25.12,9.273,2.956
Z285,37.98,12,108.67,0.87,35.22,88,88.7,23.52,9.514,2.854
Z286,34.23,11,112.18,0.87,33.98,86,90,22.1,9.258,2.877
Z287,30.46,9,143.67,0.88,27.65,97,97.7,24.48,8.227,2.802
Z288,42.16,10,149.6,0.95,31.23,90,89,23.28,9.009,2.832
Z289,36.99,8,162.5,0.93,31.58,89,89.3,22.9,9.2,2.711
Z290,51.18,13,152.31,0.9,30.03,80,85,23.12,8.439,2.935
Z291,33.36,7,161.14,0.93,33.22,90,99,22.2,8.587,3.012
Z292,39.04,13,102.54,0.92,32.98,93,93,21.54,9.669,2.771
Z293,39.4,10,123.6,0.94,35.82,90,95,21.9,9.857,2.768
Z294,24.97,11,110.55,0.77,31.05,105,92.3,24.68,8.584,2.943
Z295,19.96,9,91.22,0.83,30.23,96,92.7,21.34,9.209,2.689
Z296,30.15,11,100.64,0.82,34.65,95,90.3,23.68,9.862,2.721
Z297,44.16,14,113.79,0.88,32.23,91,91,22.1,10.058,2.77
Z298,47.02,16,101.25,0.89,34.38,94,97,21.92,10.084,2.71
Z299,42.13,12,121.42,0.96,30.9,96,96.7,22.16,8.393,2.906
Z300,41.59,14,102.43,0.93,33.53,88,96.3,20.72,9.691,2.716
Z301,40.99,14,130.64,0.78,30,97,94.7,19.9,9.353,2.643
Z302,32.43,11,105.18,0.91,32.42,94,91.7,21.92,9.665,2.683
Z303,30.24,10,111.1,0.81,34.87,93,91,22.56,9.885,2.827
Z304,41.73,11,124.64,0.96,32.45,89,96.3,22.84,9.718,2.656
Z305,40.33,10,133.2,0.93,33.45,88,89.3,20.38,9.649,2.711
Z306,37.64,8,149.63,0.96,33.35,91,105,23.54,9.87,2.623
Z307,33.37,9,131.56,0.87,34.18,92,95.3,23.62,9.469,2.771
Z308,47.12,12,126.67,0.96,33.35,83,90.7,21.84,9.008,2.801
Z309,32.52,9,121.44,0.91,33.93,92,98.7,21.76,8.382,3.114
Z310,44.33,12,134.5,0.9,32.52,94,105.7,22.42,9.044,2.876
Z311,55.38,12,170.17,0.88,32,91,107,25.1,8.162,3.044
Z312,69.13,19,126.21,0.92,32.95,87,95.7,22.96,9.395,2.792
Z313,75.94,18,137.67,0.91,35.13,87,99,23.68,9.245,2.845
Z314,42.15,18,112.89,0.77,29.37,82,80,23.48,8.972,2.619
Z315,61.43,14,141.21,0.94,34.7,94,104.7,25.6,8.381,3.132
Z316,36.88,14,128.07,0.81,27.62,90,101,24.24,8.839,2.582
Z317,50.51,12,143.33,0.89,33.95,95,104.3,25.98,8.306,3.183
Z318,37.6,17,120.29,0.8,30.97,82,81.7,20.32,9.2,2.624
Z319,48.16,13,126.77,0.89,35.57,90,100.3,22.9,9.724,2.735
Z320,31.81,14,96.14,0.77,32.53,94,99,22.04,9.66,2.667
Z321,53.47,15,124.27,0.92,33.53,84,92,21.14,9.041,2.875
Z322,74.11,17,142.59,0.92,36.02,95,101.7,23.56,9.784,2.75
Z323,41.79,13,109.92,0.88,36.05,91,100.7,23.1,10.217,2.746
Z324,35.12,10,120.7,0.92,34,90,92,22.18,9.446,2.708
Z325,47.92,9,193.78,0.96,29.33,91,98.3,25.36,8.274,2.845
Z326,51.2,14,130.79,0.9,34.12,91,95,21.68,9.572,2.82
Z327,44.83,12,139.58,0.93,30.3,90,93,24.46,8.478,2.926
Z328,47.06,15,110.2,0.95,30.97,90,91.3,22.82,9.151,2.667
Z329,48,11,163.91,0.93,29.62,88,97.3,22.16,9.158,2.605
Z330,56.35,15,127.67,0.94,33.08,93,98,23.06,9.084,2.771
Z331,58.07,17,141,0.9,28.02,85,100,19.72,8.045,2.826
Z332,61.63,15,157.8,0.89,30.63,88,90.7,24.68,9.425,2.562
Z333,40.23,10,140.7,0.95,32.12,88,95.3,21.42,9.091,2.799
Z334,43.55,14,120.21,0.86,33.42,90,98.3,25.12,9.167,2.795
Z335,37.79,11,106.09,0.93,37.13,89,95.3,23.38,9.899,2.866
Z336,49.79,11,193,0.88,27.25,83,97,24.24,7.938,2.838
Z337,40.7,13,133.38,0.81,30,86,89.3,23.46,9.065,2.638
Z338,53.23,14,133.93,0.93,31.68,89,93.7,21.9,9.046,2.763
Z339,39.19,10,141.5,0.89,31.92,87,92.3,21.7,9.088,2.763
Z340,43.02,12,133.67,0.89,33.03,87,96,22.62,8.988,2.804
Z341,39.49,11,124.55,0.91,34,95,96,23.68,9.502,2.702
Z342,35.01,9,127.67,0.97,33.43,87,102.3,24.1,8.883,2.982
Z343,34.69,8,188.25,0.91,27.33,91,95.3,21.36,8.545,2.685
Z344,48.52,11,142.64,0.95,33.15,84,95.7,23.26,9.741,2.67
