LINE,YPP,PN,GNPP,SSR,GWe,HD,PH,PL,GL,GWi
Z1442,42.11,15,131.67,0.84,27.38,96,97,21.7,8.952,2.447
Z1443,29.72,10,130.2,0.8,30.13,92,95.7,19.1,8.806,2.603
Z1444,58.95,15,157.73,0.8,33.58,93,97,21.82,9.182,2.802
Z1445,43.1,14,115.29,0.91,32.23,96,96.7,23.16,9.753,2.589
Z1446,41.27,14,137.14,0.85,28.53,88,83.3,20.14,9.225,2.472
Z1447,25.43,8,136.63,0.78,32.07,99,99,24.52,9.767,2.56
Z1448,36.35,9,153,0.85,33.98,94,115.3,23.9,9.985,2.799
Z1449,53.76,14,147.36,0.85,33.02,90,97,19.72,9.442,2.772
Z1450,58.79,20,147.8,0.68,31.67,102,105,25.46,8.575,2.941
Z1451,34.5,10,158.9,0.82,29.03,97,104.3,25.34,9.244,2.503
Z1452,25.47,7,197.86,0.68,31.45,95,107,22.36,9.268,2.606
Z1453,38.96,8,169.75,0.87,35.43,94,106.7,24.4,9.016,3.018
Z1454,39.88,9,168.11,0.92,29.93,89,88,21.96,9.207,2.652
Z1455,40.62,12,160.5,0.75,29.68,87,87.7,20.08,8.984,2.703
Z1456,35.68,12,154.17,0.88,24.12,85,78.7,20.06,8.414,2.567
Z1457,37.84,9,205.89,0.71,31.97,94,103.3,23.08,9.282,2.631
Z1458,28.2,8,151.63,0.74,33.17,94,99.3,21.94,9.563,2.7
Z1459,41.85,14,136.29,0.84,27.65,86,85,21.44,9.028,2.589
Z1460,51.59,13,171.08,0.88,27.63,84,81.3,20.26,8.402,2.789
Z1461,37.07,12,128,0.84,29.88,84,78.3,23.22,9.354,2.478
Z1462,39.32,9,173.22,0.95,28.2,92,97.7,22.3,8.996,2.554
Z1463,44.75,13,124.15,0.92,33.33,94,102.7,22.48,9.767,2.712
Z1464,42.64,12,186.58,0.73,27.53,88,99.3,21.36,9.18,2.522
Z1465,35.7,10,165,0.88,25.6,93,88.3,19.36,9.048,2.433
Z1466,36.77,12,140.08,0.83,28.57,85,85,20.62,8.557,2.745
Z1467,39,9,203.44,0.92,24.37,85,84.3,21.06,8.185,2.533
Z1468,29.68,10,139.7,0.85,25.98,84,79.3,19.24,8.702,2.404
Z1469,54.62,14,163,0.86,29.37,82,81,24.08,9.467,2.502
Z1470,23.02,12,152,0.44,29.7,82,75,18.84,9.158,2.537
Z1471,49.42,13,137.08,0.98,30.3,88,86,20.86,8.534,2.876
Z1472,62.89,18,144.56,0.95,25.93,86,80,17.88,8.58,2.403
Z1473,56.07,15,149.47,0.87,30.82,98,105.7,22.04,9.392,2.698
Z1474,41.16,10,173.4,0.92,27.7,96,96,21.38,9.128,2.437
Z1475,37.83,12,208.33,0.78,24.42,85,73,20.7,8.848,2.366
Z1476,26.24,11,235.55,0.91,25.53,85,82.3,19.16,8.874,2.425
Z1477,65.6,18,142.44,0.85,32.45,95,100.7,22.9,9.795,2.726
Z1478,47.43,11,181,0.92,27.1,83,80,20.2,8.914,2.545
Z1479,53.17,19,123.26,0.9,26.23,83,75.3,21.06,9.039,2.376
Z1480,41.48,17,121.53,0.85,25.23,77,73.7,23.02,8.835,2.429
Z1481,48.08,14,160.07,0.85,26.3,79,74,23.24,9.201,2.382
Z1482,39.18,15,133.33,0.82,25.6,92,98.3,21.38,8.751,2.471
Z1483,47.16,19,134.79,0.75,24.9,81,72.3,23.12,8.866,2.299
Z1484,53.29,14,182.43,0.83,26.4,94,93.7,20.54,8.499,2.526
Z1485,48.06,11,232.18,0.86,23.43,84,78,21.3,8.162,2.526
Z1486,50.32,15,162.13,0.79,26.75,79,73.7,21.96,7.843,2.895
Z1487,53.48,17,173.06,0.79,25.18,93,91.7,21.22,9.054,2.374
Z1488,53.08,14,157.57,0.92,27.43,90,86.3,21.28,8.632,2.602
Z1489,62.6,17,148,0.88,29.63,93,97.7,22.8,9.663,2.545
Z1490,52.71,14,166.71,0.92,26.3,88,84,20.2,9.166,2.374
Z1491,48.88,12,169.17,0.87,28.67,85,86.3,21.52,9.325,2.649
Z1492,56.29,15,160.13,0.87,28.37,83,79,21.56,9.065,2.459
Z1493,46.58,12,148,0.88,32.43,90,86.7,23.88,9.581,2.662
Z1494,49.91,13,184.38,0.86,27.4,92,90.7,19.68,8.746,2.614
Z1495,56.47,19,146.95,0.8,27,85,81.7,20.7,9.227,2.455
Z1496,59.22,14,198.07,0.82,29.37,90,96.7,22.1,9.3,2.478
Z1497,55.2,15,195.8,0.7,29.87,101,108,26.18,10.018,2.581
Z1498,48.22,14,183.79,0.69,28.35,102,108.7,25.24,9.104,2.691
Z1499,42.02,9,177.56,0.92,30.6,88,91.3,24.7,8.167,2.964
Z1500,39.25,8,198.38,0.87,30.97,92,91,21.98,9.045,2.642
Z1501,41.65,10,182,0.85,27.9,88,88,19.7,8.714,2.591
Z1502,30.31,11,129.45,0.79,28.68,89,89.3,21,9.524,2.545
Z1503,40.7,14,134.07,0.85,28.17,90,96.3,20.28,8.974,2.617
Z1504,39.99,10,196.6,0.81,26.72,98,96.7,25.46,8.902,2.483
