LINE,YPP,PN,GNPP,SSR,GWe,FLL,HD,PH,PL,GL,GWi,FLW
Z196,26.35,12,190.2,0.42,28.92,37.67,113,109,23.54,9.56,2.6,1.87
Z197,41.52,13,178.3,0.65,30.18,45,87,119.7,28.22,8.98,2.93,2.07
Z198,40.86,13,138.3,0.79,31.8,40.5,84,124.7,25.82,9.24,3.04,2.03
Z199,53.71,14,187,0.77,28.6,45,89,124,27.86,9.66,2.45,1.9
Z200,49.68,13,175.2,0.77,31.78,44.17,84,118.3,27.42,9.84,2.79,1.83
Z201,32.99,15,95.5,0.78,30.9,35.33,107,104.3,24.1,8.91,3.19,2.07
Z202,47.3,17,136.1,0.77,29.33,39.67,73,113.7,25.04,9.53,2.76,1.7
Z203,28.7,13,149.7,0.64,24.75,31,75,103.3,23.8,8.87,2.6,1.6
Z204,62.96,18,193.8,0.71,26.83,35.67,89,118.7,26.2,9.45,2.45,1.83
Z205,41.08,14,143.1,0.75,28.93,45.17,87,125.3,26.94,8.68,2.98,2.03
Z206,44.15,13,123.3,0.89,32.67,38.33,91,118,24.58,9.9,2.68,1.73
Z207,34.38,10,166.4,0.78,30.28,40,84,118.7,25.68,9.02,2.92,2.03
Z208,60.43,14,175.1,0.8,33.53,50.33,87,127.3,28.2,9.99,2.86,1.97
Z209,36.69,14,183.4,0.64,23.68,33.83,70,112.7,26.26,8.44,2.72,1.77
Z210,46.98,14,168,0.84,25.8,45.67,78,120.3,27.46,9.21,2.51,1.77
Z211,38.58,15,145.6,0.79,24.37,40.67,77,114.3,25.58,8.85,2.61,1.73
Z212,47.26,16,156.6,0.78,26.78,37,78,120.3,27.5,9.3,2.54,1.63
Z213,51.68,13,153.4,0.88,31.65,47.33,87,108.3,26.14,9.28,3.02,1.87
Z214,48.63,17,160,0.74,27.37,39.83,88,126.7,26.76,8.69,2.78,1.93
Z215,50.31,18,162.7,0.69,25.65,37.83,75,113.7,26.32,8.71,2.63,1.67
Z216,46.81,13,169.9,0.84,28.18,48.17,81,122.3,24.72,8.73,2.94,2.13
Z217,41.64,17,153.9,0.68,25.6,39.5,80,117,28.08,9.81,2.38,1.73
Z219,43.54,14,168.9,0.73,28.18,41,75,115.7,26.12,8.78,2.95,1.9
Z220,34.68,14,134.3,0.77,26.8,42.33,128,93.7,23.52,8.65,3.01,2
Z221,50.8,14,179.1,0.77,30.82,48.17,85,126.3,29.9,9.05,2.98,2.17
Z222,57.52,14,191.6,0.83,29.97,44.33,87,135,27.14,8.95,2.98,1.97
Z223,40.98,16,136.3,0.69,29.22,41.67,73,116,26.42,9.81,2.65,1.77
Z225,36.64,11,181.8,0.7,28.3,32.83,71,116,27.42,9.74,2.62,1.87
Z226,45.85,16,154.8,0.74,26.47,38,75,122.7,27.1,8.92,2.76,1.77
Z227,46.67,13,190.2,0.73,28.32,30,72,116.7,28.22,9.26,2.79,1.83
Z229,63.82,18,199.4,0.76,26.17,48.67,128,91.3,24.1,8.71,3.03,2.07
Z230,68.1,19,174.8,0.84,26.82,42,88,124,26.46,8.61,2.81,1.97
Z231,45.17,15,117.3,0.92,29.17,40,88,119.3,22.98,8.87,2.94,1.87
Z232,65.34,15,170.7,0.86,32.03,40.33,85,119.7,28.62,9.85,2.75,1.97
Z233,55.94,14,176.9,0.84,28.7,46.5,84,114.7,27.14,8.69,2.85,2.07
Z234,53.86,17,174.1,0.78,25.23,38.17,78,118.3,23.82,8.64,2.75,1.83
Z235,51.91,14,176.1,0.71,31.67,33.67,93,122.7,26.92,9.9,2.65,1.8
Z236,56.35,15,162.7,0.78,32.32,41.5,80,118,26.28,9.37,3,2.03
Z237,57.41,17,155.6,0.79,29.75,37.67,87,121.7,26.98,9.39,2.73,1.77
Z238,66.78,14,212.6,0.89,27.47,39,92,116,24.5,9.52,2.5,1.8
Z239,87.92,17,206.4,0.89,30.17,44,86,123.7,28.38,9.03,2.98,2.13
Z240,69.76,16,209.1,0.76,29.8,48.33,80,122,31.18,8.94,2.99,1.9
Z241,67.1,18,146.6,0.91,29.8,35.5,85,121.3,23.32,8.97,2.91,2.07
Z242,46.48,14,169.6,0.67,31.43,38.67,80,126.3,26.54,9.02,3.11,2
Z243,49.15,13,169.2,0.8,28.67,38.67,90,125,24.42,8.72,2.89,1.93
Z244,49.78,14,179.3,0.78,27.33,38.17,74,119.7,27.3,9.42,2.64,2.03
Z245,29.75,9,136.8,0.85,29.97,46.67,85,122.3,20.34,7.56,3.28,1.6
Z246,45.14,14,172.8,0.74,26.58,40,77,122,26.28,9.59,2.68,2.03
Z247,45.77,14,156.2,0.78,28.65,38,77,118,25.54,9.56,2.65,1.93
Z248,63.36,17,163.2,0.75,33.55,41.17,78,116.3,29.02,9.98,2.82,1.9
Z249,51.67,14,192.7,0.81,26.08,45,87,128,27.4,8.45,2.81,1.9
Z250,52.57,14,178.5,0.7,31.05,61.5,85,125.7,29.04,10.5,2.53,1.63
Z251,37.93,11,187.1,0.78,26.32,49.67,87,126.7,26.82,8.4,2.9,1.9
Z252,51.16,16,166.8,0.66,30.85,52,79,127.3,28.48,9.97,2.78,1.93
Z253,49.2,12,212.5,0.7,30.17,38.67,77,103,30.92,10.4,2.56,1.8
Z254,53.67,16,197.3,0.73,29.05,56.83,85,129.7,27.44,8.93,2.98,2.23
Z255,58.58,14,179.5,0.86,29.85,48.5,87,129.3,27.28,8.7,3.04,2.13
Z256,67.01,15,181.3,0.75,35.1,46.5,81,122.7,26.74,9.71,3.01,2.1
Z257,75.28,15,205.3,0.84,31.35,41.17,85,120.3,28.28,9.64,2.79,2.17
Z258,59.97,17,157.4,0.74,32.9,55.83,84,123.7,27.56,9.35,3,1.93
Z259,59.36,16,149.7,0.83,31.4,43,80,116.7,26.46,10.04,2.69,1.83
Z260,51,17,121.7,0.78,34.75,46.33,82,116,26.92,10.69,2.81,1.77
Z261,65,16,183.2,0.78,30.95,45.5,82,122.3,28.54,9.52,2.89,1.97
Z262,47.53,16,155.8,0.78,28.32,50.17,84,130,28.4,10.12,2.6,1.9
Z263,50.82,15,153.7,0.85,30.58,51.83,87,128.7,28.58,8.61,3.16,2.03
Z264,45.85,12,171.9,0.79,31.47,44.67,85,129.7,28.28,10.27,2.65,1.9
Z265,62.07,20,128.2,0.85,32.47,40.67,86,127.7,24.78,8.7,3.24,2.13
Z266,47.58,14,143.4,0.89,28.9,50.17,88,117.7,23.92,8.94,2.96,2.17
Z267,44.8,12,179.1,0.78,29.03,55.33,86,127,27.02,8.89,2.97,2.1
Z268,56.26,14,179.9,0.85,28.85,45,84,126.3,27.2,8.59,3.06,1.87
Z269,62.19,14,205.6,0.81,28.35,41,72,121.7,27.7,10.2,2.52,1.8
Z270,58.52,12,208.4,0.79,32.2,55.67,82,131.3,32.92,10.51,2.71,1.87
Z271,52.06,11,195,0.88,30.18,63.33,84,130.7,31.1,10.72,2.62,1.73
Z272,53.51,10,311.7,0.64,30.08,48.17,84,133,30.68,8.82,2.99,2.27
Z273,40,11,184.2,0.8,28.35,46.5,82,123.7,27.3,8.47,3.14,2.07
Z274,40.55,10,192.5,0.75,31.65,49.67,86,126.3,30.24,9.82,2.76,2.07
Z275,48.93,12,190.5,0.76,29.35,48.33,88,129.3,28.32,8.49,3.06,2.5
Z276,56.82,17,142.4,0.72,35.17,45,84,118,28.66,10.08,2.84,1.97
Z277,46.55,11,181.9,0.77,32.63,52.67,81,127.3,28.68,8.91,3.24,2.13
Z278,41.29,12,135.3,0.75,36.08,39.33,79,126.3,29.96,10.33,3,2
Z279,37.69,13,147.6,0.76,28.65,51,79,122.7,27.18,9.18,2.87,1.87
Z280,46.26,9,210.2,0.88,29.33,53.33,85,124.7,28.44,8.63,2.98,2.17
Z281,42.21,12,179.3,0.73,28.98,49.83,81,122.3,29.38,8.81,2.89,2
Z282,38.82,12,140.4,0.8,32.23,50.67,81,120,26.64,9.81,2.88,1.9
Z283,46.73,13,186.2,0.71,29.93,57.5,84,120.3,28.66,9.95,2.65,2
Z284,44.81,12,165.8,0.74,33.82,42,80,128,29.82,9.9,2.96,2
Z285,41.24,10,176,0.77,33.93,41,85,127,31.54,10.29,2.84,2.07
